xh sex poli chi math fore phy che geo his sumScore avScore
92101 F 96 96 87.5 72 93 65 76 92 677.5 B
92102 M 94 97 86.5 61 93 64 79.5 95 670 B
92103 F NA NA NA 66 98 79 89 81 NA NA
92104 F 89 97 69.5 86 83 62 83 94 663.5 B
92105 M 82 85 79.5 60 88 66 72.5 98 631 C
92106 F 88 88 78 60 90 70 81.5 77 632.5 C
92108 F 84 90 69.5 50 80 60 86.5 94 614 C
92110 M 92 94 71 65 78 62 83 87 632 C
92111 M 61 86 74 51 74 61 76 91 574 C
92112 F 81 75.5 76.5 43 78 83 78 91 606 C
92113 M 70 85 66 63 86 65 64 84 583 C
92115 M 85 91 72.5 63 70 50 65 82 578.5 C
92116 F 84 87 67.5 52 82 60 79 71 582.5 C
92117 M 83 91 80.5 44 89 56 55 62 560.5 C
92120 M 90 84 55 50 82 60 67.5 81 569.5 C
92122 M 80 88.5 63.5 44 75 70 61.5 66 548.5 D
92124 M 82 76 61 42 80 50 60 87 538 D
92125 F 88 80 53.5 60 78 51 69 94 573.5 C
92126 M 70 92 56 40 66 56 70.5 91 541.5 D
92127 F 87 97 52 38 76 47 79 84 560 C
92128 F 76 93 45 65 68 60 64.5 73 544.5 D
92129 F 89 90 50 52 71 53 58 74 537 D
92134 F 77 91 47.5 31 67 41 72.5 77 504 D
92135 M 91 77 47 44 58 44 62 80 503 D
92140 F 76 73 39.5 41 62 48 54.5 56 450 E
92141 F 73 82 41.5 28 69 43 43 74 453.5 E
92142 F NA 70 59 22 68 26 26 63 NA NA
92144 M 59 79 34 34 57 37 37 76 413 E
92145 M 74 84.5 30.5 33 64 34 34 71 425 E
92146 M 61 69 45 20 49 32 32 51 359 E
92202 M 78 89 83.5 81 91 77 81 93 673.5 B
92203 F 74 93 84.5 50 89 72 82.5 92 637 C
92204 F 88 81 87.5 60 84 63 79 92 634.5 C
92205 F 81 79 84 60 91 64 81 92 632 C
92206 F 86 86 77.5 40 92 60 57 76 574.5 C
92207 F 83 91 70.5 60 84 64 81.5 62 596 C
92208 M 91 88 63 48 75 54 76 95 590 C
92209 F 90 91 70.5 39 89 53 68.5 81 582 C
92211 F 71 73 69 42 95 61 76.5 76 563.5 C
92212 M 84 85 61.5 60 78 41 74 91 574.5 C
92213 M 82 76 65 60 75 60 78 76 572 C
92214 M 86 86 62 50 73 65 63.5 81 566.5 C
92215 M 83 80.5 62.5 54 60 55 66.5 94 555.5 D
92216 M 87 74.5 69.5 50 83 47 65 72 548 D
92217 F 60 82.5 76.5 35 81 60 70.5 74 539.5 D
92218 M 87 72 70 65 72 49 62 68 545 D
92220 F 74 81.5 59.5 45 82 64 63 72 541 D
92221 F 79 83 47 51 70 52 77.5 93 552.5 D
92223 M 56 91 65.5 68 77 39 54.5 63 514 D
92224 F 84 72 66.5 52 70 43 55 69 511.5 D
92225 M 87 83 44.5 46 80 48 64.5 80 533 D
92226 M 73 77 52.5 39 81 44 78 73 517.5 D
92227 M 77 87 44.5 56 51 44 65 86 510.5 D
92228 M 76 82 45.5 60 62 48 51.5 77 502 D
92229 F 83 72 44.5 48 50 55 54 96 502.5 D
92231 F 83 84 38.5 60 76 46 65.5 49 502 D
92232 F 89 67 51.5 30 60 43 61.5 79 481 D
92234 M 66 79 55.5 57 52 57 41 65 472.5 E
92236 M 79 76 34 28 63 36 36 52 404 E
92239 F 40 63 44 21 54 26 26 55 329 E
