xh	fore	phy	che	geo	his
   92146	20.00	49.00	32.00	32.00	51.00
   92239	21.00	54.00	26.00	26.00	55.00
   92142	22.00	68.00	26.00	26.00	63.00
   92141	28.00	69.00	43.00	43.00	74.00
   92236	28.00	63.00	36.00	36.00	52.00
   92232	30.00	60.00	43.00	61.50	79.00
   92134	31.00	67.00	41.00	72.50	77.00
   92145	33.00	64.00	34.00	34.00	71.00
   92144	34.00	57.00	37.00	37.00	76.00
   92217	35.00	81.00	60.00	70.50	74.00
   92127	38.00	76.00	47.00	79.00	84.00
   92209	39.00	89.00	53.00	68.50	81.00
   92226	39.00	81.00	44.00	78.00	73.00
   92126	40.00	66.00	56.00	70.50	91.00
   92206	40.00	92.00	60.00	57.00	76.00
   92140	41.00	62.00	48.00	54.50	56.00
   92124	42.00	80.00	50.00	60.00	87.00
   92211	42.00	95.00	61.00	76.50	76.00
   92112	43.00	78.00	83.00	78.00	91.00
   92135	44.00	58.00	44.00	62.00	80.00
   92122	44.00	75.00	70.00	61.50	66.00
   92117	44.00	89.00	56.00	55.00	62.00
   92220	45.00	82.00	64.00	63.00	72.00
   92225	46.00	80.00	48.00	64.50	80.00
   92229	48.00	50.00	55.00	54.00	96.00
   92208	48.00	75.00	54.00	76.00	95.00
   92108	50.00	80.00	60.00	86.50	94.00
   92203	50.00	89.00	72.00	82.50	92.00
   92214	50.00	73.00	65.00	63.50	81.00
   92120	50.00	82.00	60.00	67.50	81.00
   92216	50.00	83.00	47.00	65.00	72.00
   92221	51.00	70.00	52.00	77.50	93.00
   92111	51.00	74.00	61.00	76.00	91.00
   92129	52.00	71.00	53.00	58.00	74.00
   92116	52.00	82.00	60.00	79.00	71.00
   92224	52.00	70.00	43.00	55.00	69.00
   92215	54.00	60.00	55.00	66.50	94.00
   92227	56.00	51.00	44.00	65.00	86.00
   92234	57.00	52.00	57.00	41.00	65.00
   92105	60.00	88.00	66.00	72.50	98.00
   92125	60.00	78.00	51.00	69.00	94.00
   92204	60.00	84.00	63.00	79.00	92.00
   92205	60.00	91.00	64.00	81.00	92.00
   92212	60.00	78.00	41.00	74.00	91.00
   92228	60.00	62.00	48.00	51.50	77.00
   92106	60.00	90.00	70.00	81.50	77.00
   92213	60.00	75.00	60.00	78.00	76.00
   92207	60.00	84.00	64.00	81.50	62.00
   92231	60.00	76.00	46.00	65.50	49.00
   92102	61.00	93.00	64.00	79.50	95.00
   92113	63.00	86.00	65.00	64.00	84.00
   92115	63.00	70.00	50.00	65.00	82.00
   92110	65.00	78.00	62.00	83.00	87.00
   92128	65.00	68.00	60.00	64.50	73.00
   92218	65.00	72.00	49.00	62.00	68.00
   92103	66.00	98.00	79.00	89.00	81.00
   92223	68.00	77.00	39.00	54.50	63.00
   92101	72.00	93.00	65.00	76.00	92.00
   92202	81.00	91.00	77.00	81.00	93.00
   92104	86.00	83.00	62.00	83.00	94.00
